Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude,Use Location
164,Norrkoping 7 U,Digital,	434.53750,	432.53750,,5,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,58.6053,16.1426,Yes
165,Nykoping 2 U,Digital,	434.63750,	432.63750,,5,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,58.7663,17.0204,Yes
166,Sala 1 VE,Analogue,	145.71250,	145.11250,12.5,,,,,,,,82.5,82.5,Disabled,Master,No,No,No,120,Off,No,No,None,59.938,16.625,Yes
167,Stigtomta VLF,Digital,	145.28750,	145.28750,,5,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,58.8191,16.7939,Yes
168,Uppsala 1 VS,Analogue,	145.58750,	144.98750,12.5,,,,,,,,136.5,136.5,Disabled,Master,No,No,No,120,Off,No,No,None,59.8507,17.6345,Yes
169,Uppsala 2 V,Analogue,	145.75000,	145.15000,12.5,,,,,,,,82.5,82.5,Disabled,Master,No,No,No,120,Off,No,No,None,59.8542,17.7927,Yes
170,Uppsala 3 UH,Digital,	434.37500,	434.37500,,5,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.9511,17.82,Yes
171,Uppsala 4 U,Digital,	434.51250,	432.51250,,1,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.9774,17.594,Yes
172,Uppsala 5 U,Digital,	434.58750,	432.58750,,5,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.8507,17.6345,Yes
173,Uppsala 6 U,Digital,	434.63750,	432.63750,,5,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.9512,17.82,Yes
174,Uppsala 8 VLS,Analogue,	144.57500,	144.57500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,59.9774,17.594,Yes
175,Uppsala 9 ULS,Analogue,	433.45000,	433.45000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,59.9774,17.594,Yes
176,Vasteras 1 VS,Analogue,	145.77500,	145.17500,12.5,,,,,,,,82.5,82.5,Disabled,Master,No,No,No,120,Off,No,No,None,59.6181,16.5243,Yes
177,Vasteras 3 US,Analogue,	434.77500,	432.77500,12.5,,,,,,,,82.5,82.5,Disabled,Master,No,No,No,120,Off,No,No,None,59.6062,16.5576,Yes
178,Atvidaberg VSE,Analogue,	145.66250,	145.06250,12.5,,,,,,,,82.5,82.5,Disabled,Master,No,No,No,120,Off,No,No,None,58.2072,15.878,Yes
179,Stallarholmen US,Analogue,	434.95000,	432.95000,12.5,,,,,,,,82.5,82.5,Disabled,Master,No,No,No,120,Off,No,No,None,59.3899,17.2166,Yes
180,Alingsas 2 V,Analogue,	145.62500,	145.02500,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.93,12.5362,Yes
181,Alingsas 3 U,Digital,	434.53750,	432.53750,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.9151,12.5195,Yes
182,Alingsas 4 US,Analogue,	434.62500,	432.62500,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.93,12.5362,Yes
183,Angered U,Analogue,	434.92500,	432.92500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.8125,12.0417,Yes
184,Bengtsfors 1 V,Digital,	145.70000,	145.10000,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.0053,12.2525,Yes
185,Bengtsfors 2 U,Digital,	434.68750,	432.68750,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.0053,12.2525,Yes
186,Bokenas VS,Analogue,	145.60000,	145.00000,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,120,Off,No,No,None,58.31,11.64,Yes
187,Boras 1 VLE,Analogue,	144.51250,	144.51250,12.5,,,,,,,,146.2,146.2,Disabled,Master,No,No,No,120,Off,No,No,None,57.729,13.05,Yes
188,Boras 2 V,Analogue,	145.77500,	145.17500,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.742,13.005,Yes
189,Boras 3 U,Digital,	434.55000,	432.55000,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.742,13.005,Yes
190,Boras 4 U,Analogue,	434.80000,	432.80000,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.742,13.005,Yes
191,Boras 5 VLS,Analogue,	145.28750,	145.28750,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.7333,12.9458,Yes
192,Dingle U,Digital,	434.88750,	432.88750,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,58.5208,11.551,Yes
193,Falkenberg VS,Analogue,	145.62500,	145.02500,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,120,Off,No,No,None,56.9027,12.4888,Yes
194,Floda 1 ULI,Analogue,	433.47500,	433.47500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.809,12.3654,Yes
195,Guldheden 1 U,Analogue,	434.97500,	432.97500,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.678,11.9783,Yes
196,Guldheden 2 VLE,Analogue,	144.57500,	144.57500,12.5,,,,,,,,146.2,146.2,Disabled,Master,No,No,No,120,Off,No,No,None,57.68,11.97,Yes
197,Guldheden 3 U,Digital,	434.78750,	432.78750,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.6785,11.9787,Yes
198,Guldheden 4 U,Analogue,	434.60000,	432.60000,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.6785,11.9787,Yes
199,Guldheden 5 VS,Analogue,	145.65000,	145.05000,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.6785,11.9787,Yes
200,Guldheden 6 VLE,Analogue,	144.67500,	144.67500,12.5,,,,,,,,146.2,146.2,Disabled,Master,No,No,No,120,Off,No,No,None,57.68,11.97,Yes
201,Halmstad 1 VS,Analogue,	145.67500,	145.07500,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,56.7614,13.0505,Yes
202,Halmstad 2 U,Analogue,	434.75000,	432.75000,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,56.6875,12.875,Yes
203,Halmstad 3 U,Digital,	434.92500,	432.92500,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,56.7614,13.0505,Yes
204,Hemsjo U,Digital,	434.82500,	432.82500,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.8309,12.4888,Yes
205,Hjo VLS,Analogue,	145.23750,	145.23750,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,58.25,14.0186,Yes
206,Hono 1 VLE,Analogue,	144.62500,	144.62500,12.5,,,,,,,,146.2,146.2,Disabled,Master,No,No,No,120,Off,No,No,None,57.685,11.6456,Yes
207,Karlsborg 1 V,Analogue,	145.76250,	145.16250,12.5,,,,,,,,94.8,94.8,Disabled,Master,No,No,No,120,Off,No,No,None,58.5375,14.4434,Yes
208,Karlsborg 2 UL,Digital,	433.76250,	433.76250,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,58.5375,14.4434,Yes
209,Kinnekulle 1 V,Analogue,	145.60000,	145.00000,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,58.6,13.41,Yes
210,Kinnekulle 2 U,Analogue,	434.95000,	432.95000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,58.6,13.41,Yes
211,Kortedala 1 VLE,Analogue,	144.60000,	144.60000,12.5,,,,,,,,146.2,146.2,Disabled,Master,No,No,No,120,Off,No,No,None,57.7613,12.0373,Yes
212,Kortedala 2 V,Digital,	145.58750,	144.98750,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.7613,12.0373,Yes
213,Kullavik VLS,Analogue,	145.28750,	145.28750,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.5482,11.9429,Yes
214,Kungsbacka 1 VLE,Analogue,	144.65000,	144.65000,12.5,,,,,,,,146.2,146.2,Disabled,Master,No,No,No,120,Off,No,No,None,57.4874,12.077,Yes
215,Kungsbacka 2 V,Analogue,	145.72500,	145.12500,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.4874,12.077,Yes
216,Kungsbacka 3 U,Analogue,	434.72500,	432.72500,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.4874,12.077,Yes
217,Kungshamn VS,Digital,	145.67500,	145.07500,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,58.3569,11.257,Yes
218,Kungalv 2 U,Analogue,	434.73750,	432.73750,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.9814,12.0462,Yes
219,Lerum U,Analogue,	434.77500,	432.77500,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.8809,12.3227,Yes
220,Lysekil US,Analogue,	434.80000,	432.80000,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,120,Off,No,No,None,58.2755,11.4355,Yes
221,Langedrag VLE,Analogue,	144.52500,	144.52500,12.5,,,,,,,,146.2,146.2,Disabled,Master,No,No,No,120,Off,No,No,None,57.6694,11.8555,Yes
222,Mariestad UE,Analogue,	434.90000,	432.90000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,58.7002,13.8253,Yes
223,Myggenas VLE,Analogue,	144.66250,	144.66250,12.5,,,,,,,,146.2,146.2,Disabled,Master,No,No,No,120,Off,No,No,None,58.0564,11.7428,Yes
224,Molndal 1 VE,Analogue,	145.70000,	145.10000,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.65,12.0166,Yes
225,Molndal 2 UE,Analogue,	434.70000,	432.70000,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.65,12.0166,Yes
226,Molnlycke VLE,Analogue,	144.58750,	144.58750,12.5,,,,,,,,146.2,146.2,Disabled,Master,No,No,No,120,Off,No,No,None,57.6493,12.1142,Yes
227,Skara 3 U,Digital,	434.98750,	432.98750,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,58.4,13.46,Yes
228,Skene 1 VSEI,Analogue,	145.60000,	145.00000,12.5,,,,,,,,94.8,94.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.5095,12.6,Yes
229,Skene 2 UHI,Digital,	433.56250,	433.56250,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.495,12.656,Yes
230,Skene 3 USEI,Analogue,	434.95000,	432.95000,12.5,,,,,,,,94.8,94.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.5095,12.6,Yes
231,Skarsjon VLE,Analogue,	144.55000,	144.55000,12.5,,,,,,,,146.2,146.2,Disabled,Master,No,No,No,120,Off,No,No,None,57.544,12.079,Yes
232,Skovde 1 V,Analogue,	145.68750,	145.08750,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,58.4177,13.8154,Yes
233,Skovde 2 U,Analogue,	434.82500,	432.82500,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,58.4177,13.8154,Yes
234,Stenungsun 2 VSE,Digital,	145.71250,	145.11250,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,0,0,Yes
235,Tanumshede VS,Digital,	145.57500,	144.97500,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,58.7239,11.3252,Yes
236,Tidaholm V,Analogue,	145.63750,	145.03750,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,120,Off,No,No,None,58.13,14.042,Yes
237,Torup US,Analogue,	434.88750,	432.88750,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.0106,12.9843,Yes
238,Trollhattan 1 V,Digital,	145.76250,	145.16250,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,58.275,12.29,Yes
239,Uddevalla 1 VS,Digital,	145.73750,	145.13750,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,58.2964,11.8584,Yes
240,Ulricehamn 1 V,Analogue,	145.67500,	145.07500,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.8054,13.5072,Yes
241,Ulricehamn 2 U,Analogue,	434.67500,	432.67500,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.7923,13.4236,Yes
242,Varberg 1 V,Analogue,	145.70000,	145.10000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.3025,12.382,Yes
243,Varberg 2 U,Analogue,	434.70000,	432.70000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.3025,12.382,Yes
244,Vedum VS,Analogue,	145.78750,	145.18750,12.5,,,,,,,,218.1,218.1,Disabled,Master,No,No,No,120,Off,No,No,None,58.1845,12.9151,Yes
245,Vargarda U,Analogue,	434.85000,	432.85000,12.5,,,,,,,,118.8,118.8,Disabled,Master,No,No,No,120,Off,No,No,None,58.0191,12.8303,Yes
246,Amal U,Analogue,	434.60000,	432.60000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,59.0498,12.6888,Yes
247,Alvangen U,Analogue,	434.75000,	432.75000,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.95,12.121,Yes
248,Ockero 1 VS,Analogue,	145.75000,	145.15000,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.7091,11.6431,Yes
249,Ockero 2 U,Digital,	434.85000,	432.85000,,6,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.7091,11.6431,Yes
250,Orby 1 VLSE,Analogue,	145.23750,	145.23750,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.474,12.707,Yes
251,Orby 2 ULA,Analogue,	434.22500,	434.22500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.474,12.707,Yes
252,Orby 3 VLS,Analogue,	144.85000,	144.85000,12.5,,,,,,,,94.8,94.8,Disabled,Master,No,No,No,120,Off,No,No,None,57.474,12.707,Yes
253,Algutsrum 1 VSE,Analogue,	145.60000,	145.00000,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.6828,16.5646,Yes
254,Algutsrum 2 UI,Digital,	434.55000,	432.55000,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,56.6828,16.5646,Yes
255,Algutsrum 3 USE,Analogue,	434.60000,	432.60000,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.6828,16.5646,Yes
256,Bjarnum,Digital,	434.95000,	432.95000,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,0,0,Yes
257,Blentarp 2 U,Analogue,	434.85000,	432.85000,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,55.5735,13.5235,Yes
258,Blentarp 3 V,Analogue,	145.67500,	145.07500,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,55.5411,13.5875,Yes
259,Bredaryd V,Analogue,	145.68750,	145.08750,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,57.1709,13.742,Yes
260,Borgholm 1 VSE,Analogue,	145.66250,	145.06250,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.8406,16.6658,Yes
261,Borgholm 2 USE,Analogue,	434.77500,	432.77500,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.8406,16.6658,Yes
262,Borgholm 3 VLS,Analogue,	145.31250,	145.31250,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,56.8809,16.6574,Yes
263,Bruzaholm U,Digital,	434.60000,	432.60000,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.6436,15.2712,Yes
264,Boda VSE,Analogue,	145.75000,	145.15000,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,57.2629,17.0297,Yes
265,Ekenassjon 1 VH,Digital,	144.85000,	144.85000,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.4858,15.03,Yes
266,Ekenassjon 2 V,Digital,	145.71250,	145.11250,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.4858,15.03,Yes
267,Eksjo U,Digital,	434.56250,	432.56250,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.647,15.018,Yes
268,Emmaboda 1 V,Analogue,	145.77500,	145.17500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,56.6314,15.5044,Yes
269,Emmaboda 2 U,Analogue,	434.78750,	432.78750,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.6314,15.5044,Yes
270,Eslov 2 U,Analogue,	434.81250,	432.81250,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,55.8246,13.2855,Yes
271,Everod VLS,Analogue,	145.23750,	145.23750,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,55.8998,14.0972,Yes
272,Farjestaden VLSE,Analogue,	145.23750,	145.23750,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,56.6449,16.4635,Yes
273,Gladsax 1 VI,Digital,	145.57500,	144.97500,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,55.5611,14.2808,Yes
274,Gladsax 2 U,Analogue,	434.88750,	432.88750,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,55.5611,14.2808,Yes
275,Hallandsas 1 VS,Analogue,	145.78750,	145.18750,12.5,,,,,,,,225.7,225.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.3878,12.9624,Yes
276,Hallandsas 2 US,Analogue,	434.66250,	432.66250,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.3878,12.9624,Yes
277,Helsingborg 2 U,Digital,	434.60000,	432.60000,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,56.0362,12.704,Yes
278,Hillerstorp U,Analogue,	434.60000,	432.60000,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,57.3426,13.8567,Yes
279,Hultsfred V,Analogue,	145.76250,	145.16250,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.4948,15.8416,Yes
280,Huskvarna 1 U,Analogue,	434.75000,	432.75000,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,57.8233,14.2934,Yes
281,Huskvarna 2 V,Analogue,	145.75000,	145.15000,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,57.8233,14.2934,Yes
282,Horja V,Analogue,	145.76250,	145.16250,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.2364,13.6335,Yes
283,Hoor U,Digital,	434.91250,	432.91250,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,55.9567,13.5661,Yes
284,Jonkoping 3 U,Digital,	434.97500,	432.97500,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.7654,14.248,Yes
285,Jonkoping 4 VS,Analogue,	145.70000,	145.10000,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,57.7654,14.248,Yes
286,Karlshamn U,Analogue,	434.92500,	432.92500,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.1674,14.8601,Yes
287,Karlskrona 1 V,Analogue,	145.75000,	145.15000,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.2,15.62,Yes
288,Karlskrona 2 U,Analogue,	434.75000,	432.75000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,56.2,15.62,Yes
289,Kristiansta 1 VS,Analogue,	145.73750,	145.13750,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,0,0,Yes
290,Kristianstad 2 U,Digital,	434.52500,	432.52500,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,56.005,14.065,Yes
291,Linderod VI,Digital,	145.58750,	144.98750,,14,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,55.9166,13.75,Yes
292,Ljungby VSE,Analogue,	145.72500,	145.12500,12.5,,,,,,,,94.8,94.8,Disabled,Master,No,No,No,120,Off,No,No,None,56.9026,13.946,Yes
293,Lund 2 U,Digital,	434.58750,	432.58750,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,55.7348,13.2308,Yes
294,Lund 3 U,Analogue,	434.72500,	432.72500,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,55.7292,13.2083,Yes
295,Lund 4 V,Analogue,	145.77500,	145.17500,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,55.697,13.284,Yes
296,Lonsboda 2 U,Digital,	434.95000,	432.95000,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,56.3939,14.3208,Yes
297,Malmo 1 UI,Digital,	434.61250,	432.61250,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,55.5781,13.0089,Yes
298,Malmo 2 U,Digital,	434.77500,	432.77500,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,55.5978,12.9846,Yes
299,Moheda VSE,Analogue,	145.63750,	145.03750,12.5,,,,,,,,225.7,225.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.9987,14.5844,Yes
300,Morbylanga VSE,Analogue,	145.62500,	145.02500,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.5151,16.4392,Yes
301,Nybro V,Analogue,	145.68750,	145.08750,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.6875,15.7917,Yes
302,Nassjo 1 V,Digital,	145.58750,	144.98750,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.65,14.7,Yes
303,Nassjo 2 V,Analogue,	145.65000,	145.05000,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,57.65,14.7,Yes
304,Nassjo 3 U,Analogue,	434.85000,	432.85000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.65,14.7,Yes
305,Nassjo 4 U,Digital,	434.90000,	432.90000,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.65,14.7,Yes
306,Olofstrom 1 VE,Analogue,	145.70000,	145.10000,12.5,,,,,,,,67.0,67.0,Disabled,Master,No,No,No,120,Off,No,No,None,56.2292,14.4583,Yes
307,Olofstrom 2 UI,Digital,	434.71250,	432.71250,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,56.2292,14.4583,Yes
308,Oskarshamn 1 V,Analogue,	145.72500,	145.12500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.26,16.4,Yes
309,Oskarshamn 2 U,Analogue,	434.72500,	432.72500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,57.26,16.4,Yes
310,Sjobo U,Digital,	434.92500,	432.92500,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,55.6408,13.709,Yes
311,Spjutsbygd 1 VS,Analogue,	145.72500,	145.12500,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.3121,15.5971,Yes
312,Soderasen 1 VS,Analogue,	145.65000,	145.05000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,56.0517,13.1047,Yes
313,Soderasen 2 U,Digital,	434.65000,	432.65000,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,56.0517,13.1047,Yes
314,Soderasen 3 VLA,Analogue,	145.23750,	145.23750,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.0517,13.1047,Yes
315,Sodra_Vi 1 U,Digital,	434.66250,	432.66250,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,0,0,Yes
316,Sodra_Vi 2 ULAE,Analogue,	433.50000,	433.50000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,0,0,Yes
317,Solvesborg 2 U,Analogue,	434.62500,	432.62500,12.5,,,,,,,,67.0,67.0,Disabled,Master,No,No,No,120,Off,No,No,None,56.0489,14.5844,Yes
318,Tomelilla U,Digital,	434.63750,	432.63750,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,55.5425,13.9559,Yes
319,Vetlanda 1 V,Analogue,	145.62500,	145.02500,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,57.499,15.244,Yes
320,Vetlanda 2 U,Analogue,	434.62500,	432.62500,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,57.499,15.244,Yes
321,Vitaby V,Analogue,	145.61250,	145.01250,12.5,,,,,,,,79.7,79.7,Disabled,Master,No,No,No,120,Off,No,No,None,55.6955,14.16,Yes
322,Varnamo 1 V,Analogue,	145.60000,	145.00000,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,57.1816,14.0785,Yes
323,Vastervik 1 V,Analogue,	145.67500,	145.07500,12.5,,,,,,,,77.0,77.0,Disabled,Master,No,No,No,120,Off,No,No,None,57.7567,16.6182,Yes
324,Vastervik 2 U,Digital,	434.67500,	432.67500,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,57.7937,16.5758,Yes
325,Vaxjo 1 VSE,Analogue,	145.67500,	145.07500,12.5,,,,,,,,156.7,156.7,Disabled,Master,No,No,No,120,Off,No,No,None,56.8666,14.8833,Yes
326,Vaxjo 2 U,Digital,	434.70000,	432.70000,,7,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,56.8666,14.8833,Yes
